trial	val_loss	params
1	6.206531	{'hidden_size': 64, 'num_layers': 1, 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.0, 'batch_size': 16, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
2	6.684777	{'hidden_size': 64, 'num_layers': 1, 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.0, 'batch_size': 32, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
3	6.511372	{'hidden_size': 64, 'num_layers': 1, 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.0001, 'batch_size': 16, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
4	6.860527	{'hidden_size': 64, 'num_layers': 1, 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.0001, 'batch_size': 32, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
5	6.506270	{'hidden_size': 64, 'num_layers': 1, 'dropout': 0.0, 'lr': 0.002, 'weight_decay': 0.0, 'batch_size': 16, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
6	6.569598	{'hidden_size': 64, 'num_layers': 1, 'dropout': 0.0, 'lr': 0.002, 'weight_decay': 0.0, 'batch_size': 32, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
7	6.115609	{'hidden_size': 64, 'num_layers': 1, 'dropout': 0.0, 'lr': 0.002, 'weight_decay': 0.0001, 'batch_size': 16, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
8	6.845100	{'hidden_size': 64, 'num_layers': 1, 'dropout': 0.0, 'lr': 0.002, 'weight_decay': 0.0001, 'batch_size': 32, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
9	7.029452	{'hidden_size': 64, 'num_layers': 1, 'dropout': 0.0, 'lr': 0.0005, 'weight_decay': 0.0, 'batch_size': 16, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
10	6.992576	{'hidden_size': 64, 'num_layers': 1, 'dropout': 0.0, 'lr': 0.0005, 'weight_decay': 0.0, 'batch_size': 32, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
11	6.833355	{'hidden_size': 64, 'num_layers': 1, 'dropout': 0.0, 'lr': 0.0005, 'weight_decay': 0.0001, 'batch_size': 16, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
12	6.971024	{'hidden_size': 64, 'num_layers': 1, 'dropout': 0.0, 'lr': 0.0005, 'weight_decay': 0.0001, 'batch_size': 32, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
13	6.589594	{'hidden_size': 64, 'num_layers': 1, 'dropout': 0.3, 'lr': 0.001, 'weight_decay': 0.0, 'batch_size': 16, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
14	6.591328	{'hidden_size': 64, 'num_layers': 1, 'dropout': 0.3, 'lr': 0.001, 'weight_decay': 0.0, 'batch_size': 32, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
15	6.889279	{'hidden_size': 64, 'num_layers': 1, 'dropout': 0.3, 'lr': 0.001, 'weight_decay': 0.0001, 'batch_size': 16, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
16	7.043363	{'hidden_size': 64, 'num_layers': 1, 'dropout': 0.3, 'lr': 0.001, 'weight_decay': 0.0001, 'batch_size': 32, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
